# MNE-Annotations
# orig_time : 2013-09-13 23:30:16.087428   
# onset, duration, description
3741.925,1.13,SO
3743.055,1.245,SO
3743.055,1.245,SO
3744.83,0.8,SO
3745.895,1.05,SO
3747.5,1.685,SO
3749.185,1.075,SO
3749.185,1.075,SO
3750.0,30.0,S3
3750.0,30.0,S3
3750.26,1.31,SO
3754.025,0.805,SO
3756.135,1.09,SO
3760.735,0.955,SO
3767.505,0.765,SO
3773.22,0.91,SO
3780.0,150.0,S4
3780.0,150.0,S4
3780.255,1.05,SO
3786.02,0.74,SO
3790.815,1.415,SO
3793.265,0.835,SO
3794.575,0.58,SO
3795.69,0.935,SO
3796.855,0.88,SO
3798.06,0.79,SO
3805.415,0.645,SO
3806.71,0.85,SO
3808.265,0.875,SO
3813.92,0.87,SO
3818.715,0.875,SO
3820.465,1.09,SO
3821.555,0.785,SO
3824.275,0.885,SO
3828.185,1.19,SO
3829.53,1.51,SO
3829.53,1.51,SO
3829.53,1.51,SO
3831.04,1.18,SO
3835.27,0.62,SO
3836.1,0.665,SO
3838.89,0.635,SO
3840.57,0.545,SO
3841.115,1.27,SO
3844.3,1.02,SO
3848.48,0.68,SO
3849.505,0.785,SO
3850.785,0.835,SO
3852.285,1.695,SO
3852.285,1.695,SO
3852.285,1.695,SO
3853.98,1.035,SO
3856.355,1.055,SO
3858.66,0.82,SO
3858.66,0.82,SO
3860.42,0.805,SO
3861.425,0.92,SO
3862.535,1.08,SO
3868.39,0.84,SO
3869.23,1.585,SO
3869.23,1.585,SO
3871.185,1.085,SO
3872.71,0.86,SO
3873.57,1.095,SO
3874.665,1.185,SO
3876.325,0.605,SO
3878.175,0.845,SO
3880.59,1.355,SO
3882.46,1.175,SO
3884.07,0.98,SO
3884.07,0.98,SO
3885.355,0.97,SO
3886.325,0.66,SO
3888.35,1.57,SO
3889.92,2.41,SO
3889.92,2.41,SO
3889.92,2.41,SO
3889.92,2.41,SO
3892.33,0.89,SO
3894.145,1.22,SO
3896.455,0.955,SO
3897.41,0.77,SO
3902.455,0.95,SO
3904.77,0.56,SO
3908.855,0.925,SO
3911.555,0.625,SO
3912.71,1.185,SO
3912.71,1.185,SO
3913.895,1.7,SO
3915.595,1.395,SO
3917.175,0.84,SO
3919.275,1.045,SO
3920.32,0.825,SO
3921.145,0.765,SO
3921.91,0.825,SO
3925.04,1.465,SO
3930.0,90.0,S3
3930.0,90.0,S3
3936.54,0.77,SO
3939.785,0.85,SO
3941.875,1.26,SO
3945.2,0.79,SO
3946.605,1.06,SO
3948.55,0.82,SO
3950.4,0.985,SO
3958.015,0.915,SO
3958.015,0.915,SO
3960.355,0.905,SO
3961.6,0.85,SO
3963.675,0.97,SO
3967.975,0.82,SO
3967.975,0.82,SO
3969.855,1.545,SO
3977.13,1.305,SO
3977.13,1.305,SO
3978.69,1.045,SO
3980.995,0.81,SO
3982.23,1.495,SO
3982.23,1.495,SO
3985.565,0.875,SO
3985.565,0.875,SO
3986.44,1.56,SO
3986.44,1.56,SO
3990.17,0.935,SO
3991.81,1.105,SO
3993.195,0.615,SO
3993.81,1.015,SO
3994.825,1.3,SO
3994.825,1.3,SO
3996.435,0.625,SO
3997.415,1.235,SO
3998.65,1.13,SO
4002.32,0.98,SO
4005.915,1.17,SO
4005.915,1.17,SO
4010.495,1.735,SO
4012.23,0.895,SO
4012.23,0.895,SO
4015.745,1.515,SO
4015.745,1.515,SO
4015.745,1.515,SO
4017.26,1.835,SO
4017.26,1.835,SO
4017.26,1.835,SO
4020.0,30.0,Wake
4020.0,30.0,Wake
4052.15,3.95,SO
4052.15,3.95,SO
4052.15,3.95,SO
4052.15,3.95,SO
